Date,Open,High,Low,Close,Volume
29/09/2005,700,700,670,700,24577000
30/09/2005,730,730,700,730,43480000
03/10/2005,690,720,690,690,60120000
04/10/2005,730,750,690,730,80118496
05/10/2005,730,730,710,730,38160000
06/10/2005,700,720,700,700,20463500
07/10/2005,710,720,700,710,10390500
10/10/2005,710,720,700,710,3148000
11/10/2005,720,720,700,720,8694000
12/10/2005,720,720,710,720,7169000
13/10/2005,710,720,700,710,10999500
14/10/2005,730,730,710,730,16173500
18/10/2005,730,730,710,730,14407000
19/10/2005,730,730,710,730,23975000
21/10/2005,760,760,730,760,42885500
24/10/2005,770,770,750,770,23944500
26/10/2005,820,840,770,820,103347504
27/10/2005,820,840,810,820,19321500
28/10/2005,820,830,780,820,41266000
31/10/2005,820,830,800,820,20618500
01/11/2005,810,820,800,810,6167500
10/11/2005,820,830,820,820,7503500
11/11/2005,810,840,800,810,20877500
14/11/2005,810,820,810,810,12060500
15/11/2005,840,850,810,840,25765000
16/11/2005,840,860,840,840,13536000
17/11/2005,870,870,850,870,12076500
18/11/2005,850,870,850,850,6210000
21/11/2005,840,860,840,840,9938500
22/11/2005,830,850,820,830,8706500
23/11/2005,850,850,830,850,17780000
24/11/2005,830,850,830,830,3346000
25/11/2005,840,840,830,840,24256500
28/11/2005,840,860,840,840,10216000
29/11/2005,840,850,840,840,2522500
30/11/2005,850,850,840,850,14233000
01/12/2005,850,850,840,850,5040000
02/12/2005,870,870,840,870,13297000
05/12/2005,900,910,860,900,59943000
06/12/2005,890,920,890,890,12243500
07/12/2005,950,960,900,950,66228000
08/12/2005,920,950,920,920,35196500
09/12/2005,940,950,920,940,27378000
12/12/2005,950,960,940,950,39332500
13/12/2005,940,960,940,940,13675000
14/12/2005,960,970,940,960,35654000
15/12/2005,920,960,910,920,16631500
16/12/2005,920,940,910,920,11471000
19/12/2005,950,950,920,950,23977500
20/12/2005,940,950,930,940,6399500
21/12/2005,910,940,910,910,5110500
22/12/2005,910,920,900,910,5533000
23/12/2005,900,910,900,900,5267500
27/12/2005,900,920,900,900,2030000
28/12/2005,900,920,900,920,2911500
29/12/2005,910,930,910,910,2763000
02/01/2006,910,910,910,910,1241000
03/01/2006,910,950,910,940,20909500
04/01/2006,950,980,950,980,61740000
05/01/2006,980,990,930,940,31830500
06/01/2006,930,960,930,950,9816500
09/01/2006,950,960,950,960,15306000
11/01/2006,970,970,940,970,17494000
12/01/2006,970,970,940,950,15412500
13/01/2006,940,950,940,940,9941500
16/01/2006,940,940,910,920,13103500
17/01/2006,900,910,860,860,34348500
18/01/2006,840,860,820,840,24870000
19/01/2006,850,890,850,890,23847500
20/01/2006,900,900,860,870,12925500
23/01/2006,850,860,840,860,15201000
24/01/2006,860,870,850,860,11002500
25/01/2006,870,880,860,870,8315000
26/01/2006,880,880,860,870,19887500
27/01/2006,880,890,860,880,19901500
30/01/2006,880,880,870,880,943000
01/02/2006,890,900,870,890,33199000
02/02/2006,890,920,890,920,19960000
03/02/2006,920,930,900,920,31120500
06/02/2006,910,920,900,910,7963500
07/02/2006,910,910,890,900,13517000
08/02/2006,880,900,880,880,13911000
09/02/2006,890,890,880,890,9867500
10/02/2006,890,890,870,880,10588500
13/02/2006,880,900,880,890,11634500
14/02/2006,880,880,870,880,8001500
15/02/2006,890,890,860,870,9485500
16/02/2006,870,870,860,870,6651500
17/02/2006,860,870,860,870,5334000
20/02/2006,870,870,840,840,18947000
21/02/2006,850,850,830,840,10427000
22/02/2006,840,850,840,840,7126500
23/02/2006,840,850,840,840,15050000
24/02/2006,850,850,830,840,10365000
27/02/2006,840,860,840,850,15362500
28/02/2006,850,850,840,840,4627000
01/03/2006,840,840,810,830,27751000
02/03/2006,830,830,820,830,10398000
03/03/2006,830,850,820,840,101286000
06/03/2006,830,840,810,830,27751000
07/03/2006,840,840,820,840,48995500
08/03/2006,810,830,810,810,18399500
09/03/2006,820,820,810,820,8441000
10/03/2006,820,830,810,820,13065500
13/03/2006,810,830,810,810,2832000
14/03/2006,810,840,810,820,14394000
