Date,Open,High,Low,Close,Volume
29/09/2005,810,820,810,810,1067500
30/09/2005,815,815,810,815,1403500
03/10/2005,840,855,800,840,2826500
04/10/2005,875,890,845,875,2855500
05/10/2005,860,870,855,860,459000
06/10/2005,890,905,860,890,4779000
07/10/2005,925,935,895,925,2126000
10/10/2005,935,945,920,935,3620000
11/10/2005,920,935,905,920,2287500
12/10/2005,925,925,920,925,798000
13/10/2005,920,925,915,920,2920000
14/10/2005,915,915,915,915,2500
18/10/2005,870,885,860,870,603000
19/10/2005,860,865,845,860,504500
21/10/2005,835,850,835,835,522500
24/10/2005,825,835,825,825,190500
26/10/2005,855,855,820,855,408000
27/10/2005,855,860,855,855,1218500
28/10/2005,850,850,835,850,392500
31/10/2005,875,875,850,875,521000
01/11/2005,870,880,865,870,605000
10/11/2005,915,920,910,915,398500
11/11/2005,890,905,885,890,196500
14/11/2005,850,890,850,850,467500
15/11/2005,840,850,840,840,283000
16/11/2005,860,870,850,860,721000
17/11/2005,845,860,845,845,176500
18/11/2005,875,875,845,875,699000
21/11/2005,880,885,875,880,1923000
22/11/2005,880,885,875,880,89000
23/11/2005,850,880,840,850,1510500
24/11/2005,860,865,855,860,1362000
25/11/2005,860,865,855,860,282000
28/11/2005,860,860,850,860,469000
29/11/2005,880,880,860,880,1324000
30/11/2005,865,885,865,865,529000
01/12/2005,860,870,855,860,561500
02/12/2005,890,890,865,890,1503000
05/12/2005,875,890,875,875,270500
06/12/2005,890,890,875,890,604500
07/12/2005,890,895,885,890,1811500
08/12/2005,890,905,880,890,1694500
09/12/2005,875,890,875,875,931500
12/12/2005,860,875,855,860,3945000
13/12/2005,855,865,855,855,1264000
14/12/2005,865,870,855,865,2148000
15/12/2005,865,875,860,865,1288000
16/12/2005,855,865,850,855,1201500
19/12/2005,855,865,855,855,1759000
20/12/2005,855,860,850,855,755500
21/12/2005,850,850,845,850,587000
22/12/2005,855,860,850,855,1525500
23/12/2005,855,855,845,850,490000
27/12/2005,840,855,840,840,483000
28/12/2005,850,855,840,850,965000
29/12/2005,855,860,850,855,957500
02/01/2006,860,860,855,860,5000
03/01/2006,865,865,855,865,666500
04/01/2006,875,875,870,875,1183000
05/01/2006,870,880,865,870,1227500
06/01/2006,880,880,870,880,639000
09/01/2006,880,895,880,885,2356000
11/01/2006,885,905,885,885,4793500
12/01/2006,875,890,875,875,690500
13/01/2006,880,905,870,880,1664000
16/01/2006,875,885,870,875,858000
17/01/2006,855,875,855,855,570500
18/01/2006,850,850,835,845,1610500
19/01/2006,860,860,845,860,309500
20/01/2006,855,870,855,855,1465000
23/01/2006,845,860,845,860,2258500
24/01/2006,880,890,865,880,3366500
25/01/2006,885,885,870,880,234500
26/01/2006,875,880,875,875,214500
27/01/2006,870,875,860,870,1092000
30/01/2006,860,870,860,860,28500
01/02/2006,860,880,860,860,492000
02/02/2006,865,870,860,865,929500
03/02/2006,860,865,860,860,99500
06/02/2006,860,865,860,860,275000
07/02/2006,870,870,860,870,281500
08/02/2006,870,870,860,870,2597500
09/02/2006,880,880,865,880,318500
10/02/2006,870,875,865,870,764000
13/02/2006,870,880,870,870,422500
14/02/2006,865,865,830,865,3430000
15/02/2006,865,865,850,865,471000
16/02/2006,865,875,865,865,788000
17/02/2006,875,875,860,875,1789000
20/02/2006,875,875,860,865,115000
21/02/2006,860,865,860,860,88500
22/02/2006,855,860,855,855,1069500
23/02/2006,850,860,850,860,1711000
24/02/2006,835,855,835,835,1151500
27/02/2006,855,855,850,855,289500
28/02/2006,855,860,845,855,662000
01/03/2006,860,860,845,860,1835000
02/03/2006,860,860,855,860,1362000
03/03/2006,860,865,860,860,1354500
06/03/2006,860,860,845,860,1835000
07/03/2006,845,855,845,845,335000
08/03/2006,845,845,835,840,2505000
09/03/2006,860,870,850,860,888500
10/03/2006,850,860,850,850,38500
13/03/2006,845,850,845,845,36500
14/03/2006,845,860,845,855,134500
15/03/2006,855,860,845,860,538000
16/03/2006,860,865,855,860,1499000
17/03/2006,860,860,860,860,243500
20/03/2006,855,860,850,855,3153000
21/03/2006,855,870,855,860,3770500
22/03/2006,860,860,855,860,896000
23/03/2006,860,865,850,860,856000
24/03/2006,850,860,850,850,146000
27/03/2006,855,855,850,855,431500
28/03/2006,855,860,855,855,226000
29/03/2006,850,855,845,850,1901500
03/04/2006,840,850,835,840,4777000
04/04/2006,845,845,840,845,2017000
05/04/2006,840,840,840,840,2720000
06/04/2006,855,855,845,855,1033000
07/04/2006,865,865,855,865,1507500
11/04/2006,850,855,845,850,820000
12/04/2006,865,870,845,865,5092000
13/04/2006,855,865,855,855,1178000
17/04/2006,850,855,850,850,707500
18/04/2006,870,870,850,870,4859500
19/04/2006,870,880,865,870,7451500
20/04/2006,870,880,865,870,4844000
21/04/2006,850,870,850,850,2218500
24/04/2006,850,860,840,850,2118000
25/04/2006,850,855,845,850,1659500
26/04/2006,860,865,850,860,4452000
27/04/2006,860,875,855,860,5290000
28/04/2006,860,920,860,915,19510500
01/05/2006,940,950,915,940,6304000
02/05/2006,940,955,920,940,3402000
03/05/2006,1000,1005,940,1000,10381500
04/05/2006,960,1020,930,960,6261500
08/05/2006,960,1010,950,960,4818000
09/05/2006,965,980,955,965,2316500
10/05/2006,960,970,955,960,371000
11/05/2006,950,960,945,950,6571500
12/05/2006,940,945,930,940,660000
15/05/2006,875,920,855,875,1311500
16/05/2006,910,910,845,910,2686500
17/05/2006,890,935,880,890,1734000
22/05/2006,840,845,820,840,3553500
23/05/2006,825,835,820,825,2772500
24/05/2006,810,840,800,810,7928500
30/05/2006,835,835,800,835,4281500
31/05/2006,805,815,805,805,4045000
01/06/2006,840,850,820,840,3373500
02/06/2006,860,870,830,860,2845500
05/06/2006,845,860,840,845,368500
06/06/2006,825,835,820,825,507500
07/06/2006,810,815,805,810,1845000
08/06/2006,780,800,775,780,2163000
09/06/2006,790,790,775,790,3316000
12/06/2006,780,785,770,780,411500
13/06/2006,745,770,735,745,3222500
14/06/2006,735,745,725,735,898000
15/06/2006,765,765,745,765,1944000
16/06/2006,835,840,785,835,4934000
19/06/2006,830,835,830,830,803000
20/06/2006,830,835,820,830,524500
21/06/2006,820,830,820,820,2688500
22/06/2006,825,835,820,825,3456000
23/06/2006,810,810,790,810,628500
26/06/2006,800,805,790,800,393500
27/06/2006,805,815,800,805,1467500
28/06/2006,800,805,800,800,627000
29/06/2006,800,810,800,810,334500
30/06/2006,825,825,815,825,1903500
03/07/2006,820,825,815,820,754000
04/07/2006,835,840,825,835,3346000
05/07/2006,840,840,835,840,225000
06/07/2006,855,855,825,855,1328000
07/07/2006,860,875,860,860,995000
10/07/2006,860,875,855,860,152500
11/07/2006,845,855,845,845,180000
12/07/2006,865,865,860,865,286000
13/07/2006,845,855,840,845,317500
14/07/2006,830,845,830,830,131500
17/07/2006,830,830,820,830,56500
18/07/2006,840,845,825,840,67000
20/07/2006,840,860,840,840,434000
21/07/2006,830,855,825,830,105500
24/07/2006,830,835,820,830,64000
25/07/2006,830,845,830,830,84500
28/07/2006,845,845,835,845,688500
31/07/2006,845,850,840,845,1380000
01/08/2006,850,855,845,850,1203500
02/08/2006,855,870,850,855,1874000
03/08/2006,860,865,855,860,674000
04/08/2006,860,865,860,860,312000
07/08/2006,865,870,860,865,835000
08/08/2006,845,860,845,845,886500
09/08/2006,870,875,850,870,600000
