Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
30-Jul-2020,AMIN,EQUITY,1080000000,268,0,20688800,0,0,105166300,0,26333400,0,0,152188500,0,17438300,0,0,68394700,0,192800,0,1785700,87811500
30-Jul-2020,AMOR,EQUITY,1111111200,1970,21699100,28085200,0,0,51846900,250000,0,0,0,101881200,0,0,0,5515427,505900,2624400,0,0,584273,9230000
30-Jul-2020,AMRT,EQUITY,41524501700,740,260656100,23994277601,9270900,0,2814725644,48615600,397,12280400,0,27139826642,0,4367290215,235223800,1755917938,1085200,2434427761,2601831622,4833500,2984065022,14384675058
30-Jul-2020,ANDI,EQUITY,9350000000,50,0,725908500,0,0,1804240800,1850646500,316894500,100000,0,4697790300,0,9900,0,161300,8500,0,2000000,0,0,2179700
30-Jul-2020,ANJT,EQUITY,3354175000,595,161038300,95760079,0,0,81308184,100,0,0,0,338106663,0,5026800,2000,0,7108237,0,1794300,0,2137000,16068337
30-Jul-2020,ANTM,EQUITY,24030764725,730,1980639417,71768315,146621057,0,3240490840,1194406655,55700568,10453075,1430700,6701510627,46890404,91472086,78480415,244841966,19414041,703101087,233127425,2675300,244111179,1664113903
30-Jul-2020,APEX,EQUITY,2659850000,165,0,1827220294,0,0,58302020,0,2800,0,0,1885525114,0,573737577,0,122766950,0,0,106687,0,0,696611214
30-Jul-2020,APIC,EQUITY,11766313488,835,525300000,9182011430,1900000,0,107273659,862146957,100001591,22250000,0,10800883637,4916544,258631001,5030300,427689000,250,30680800,284700,0,238197256,965429851
30-Jul-2020,APII,EQUITY,1075760000,232,0,0,0,0,39196900,0,0,0,0,39196900,0,0,0,798600,53555100,0,37927400,0,143096000,235377100
30-Jul-2020,APLI,EQUITY,1362671400,117,0,202444300,0,0,558441500,0,165000,0,0,761050800,0,0,0,0,214300,0,1305300,0,0,1519600
30-Jul-2020,APLN,EQUITY,22699326779,117,49283600,9321046848,3183600,0,2647080057,11190100,190799777,8869200,390000,12231843182,0,29882060,10796293,352304379,18910900,201709122,119271068,0,40829775,773703597
30-Jul-2020,APOL,EQUITY,16452282461,50,0,727162400,1400000,0,780000359,0,1205300,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
30-Jul-2020,ARGO,EQUITY,335557450,1485,45000,34150914,0,0,441350,0,83500,0,0,34720764,0,280,0,112500,11250,0,88300,0,5720,218050
30-Jul-2020,ARII,EQUITY,3000000000,482,119481800,1097023500,150000,0,502571400,141715600,0,0,0,1860942300,0,312864100,0,274785400,2094800,0,1511000,0,60441400,651696700
30-Jul-2020,ARKA,EQUITY,2000000000,288,0,0,0,0,493344000,0,0,0,0,493344000,0,0,0,0,0,0,0,0,6656000,6656000
30-Jul-2020,ARMY,EQUITY,9006250000,50,1033082100,2763799700,0,0,1572082700,2854083600,259014500,200000,0,8482262600,0,488927400,0,32396000,972000,1687200,4800,0,0,523987400
30-Jul-2020,ARNA,EQUITY,7341430976,422,40266097,1108319176,12385900,0,3279454061,215526100,37308,0,0,4655988642,0,369577300,141502400,320650441,58693328,1229590958,29845582,60500000,475082325,2685442334
30-Jul-2020,ARTA,EQUITY,446674175,304,0,39777500,0,0,399600425,0,0,0,0,439377925,0,0,0,250,499600,0,6796400,0,0,7296250
30-Jul-2020,ARTI,EQUITY,7840000000,50,234503974,2810926286,739500000,0,3467282900,505451300,27948040,0,0,7785612500,0,110700,0,0,20102800,0,12130000,0,20669000,53012500
30-Jul-2020,ARTO,EQUITY,10856250000,2800,2211400,4432365025,0,0,1391956385,105000,50841,0,0,5826688651,0,1581846684,0,2804616465,5000,0,174600,0,534356100,4920998849
30-Jul-2020,ASBI,EQUITY,348386472,300,21492,309305014,922,1106,19554948,0,27456,0,0,328910938,0,0,0,5689800,530170,0,1248828,0,0,7468798
30-Jul-2020,ASDM,EQUITY,192000000,930,0,31252100,0,13200,17389160,2000000,0,0,0,50654460,0,11300,0,18000,562800,0,1991200,0,0,2583300
30-Jul-2020,ASGR,EQUITY,1348780500,660,1552500,146160,0,178000,141963278,755900,131401,500,600000,145327739,0,3566800,7660000,49986753,844300,24775700,10086685,3453500,51624333,151998071
30-Jul-2020,ASIA,EQUITY,2275009490,0,250000,16506304,0,0,1023076843,0,3395200,0,22006500,1065234847,0,334,0,1720002,13351173,0,24374673,0,1153364413,1192810595
30-Jul-2020,ASII,EQUITY,40483553140,5150,2724996052,53429764,247146223,555650,912759362,1323912220,5717717,32881400,23527330,5324925718,367730008,473524965,1984209068,1657574000,4792820,4889914397,553545469,35582400,2962645715,12929518842
30-Jul-2020,ASJT,EQUITY,600000000,117,12820000,1009800,464365700,0,50542700,60812800,4281100,0,5102900,598935000,0,0,0,351800,695500,0,17700,0,0,1065000
30-Jul-2020,ASMI,EQUITY,8958380460,1170,2684213800,2324595000,0,0,3826467960,32739000,17390500,0,33604400,8919010660,0,54100,0,9255700,24850600,2941500,1199800,0,1068100,39369800
30-Jul-2020,ASPI,EQUITY,680000000,240,0,0,0,0,310197800,0,19800000,200,0,329998000,0,0,0,0,2000,0,0,0,0,2000
30-Jul-2020,ASRI,EQUITY,19649411888,123,29387300,7869268309,36272600,0,2582290542,153432000,3941554621,15013500,650000,14627868872,1026800,101702342,158683791,424605440,26434900,374728241,392862971,0,559048531,2039093016
30-Jul-2020,ASRM,EQUITY,234064634,1990,11703,925914,1121173,0,7299707,0,1982,104,0,9360583,0,9272,0,23975,9871,0,477494,0,1605816,2126428
30-Jul-2020,ASSA,EQUITY,3397500000,535,79944000,1818154200,9492900,0,1114039200,193938200,10966700,2700000,0,3229235200,0,14924100,0,25838600,3151000,4402700,2452000,0,117496400,168264800
30-Jul-2020,ATIC,EQUITY,2315361355,615,0,798775818,0,0,453057428,0,0,0,0,1251833246,0,863645841,0,0,91200,0,0,0,0,863737041
30-Jul-2020,ATPK,EQUITY,5760245414,194,334100,3695100,18900,0,259425494,0,0,0,0,263473594,0,3651000,3400000,366222000,1161500,0,516047807,0,100059129,990541436
30-Jul-2020,AUTO,EQUITY,4819733000,870,1733100,58851087,189075,0,190812193,61868550,1372320,2500,75,314828900,0,433228624,0,56715101,561725,136578200,18128162,0,2641231,647853043
30-Jul-2020,AYLS,EQUITY,853423200,50,0,60000,0,0,257765700,0,0,0,0,257825700,0,0,0,0,0,0,877500,0,0,877500
30-Jul-2020,BABP,EQUITY,25333295263,50,121226924,12532019088,0,0,1683279438,767933976,1063850,0,2482300,15108005576,0,8643291056,0,174994322,6416800,0,3601883,0,1125360000,9953664061
30-Jul-2020,BACA,EQUITY,7070723550,422,1489035100,4508851956,0,12686999,59668898,774610713,711034,0,0,6845564700,0,2000,0,1675700,3000,1778000,50090,0,221650060,225158850
30-Jul-2020,BAJA,EQUITY,1800000000,59,0,88003100,0,0,311375300,0,0,50000,0,399428400,0,520000,0,0,51600,0,0,0,0,571600
30-Jul-2020,BALI,EQUITY,3934592500,890,68436102,2592201774,0,0,500754800,3277900,154791824,0,0,3319462400,0,0,0,173042400,17700,0,0,0,0,173060100
30-Jul-2020,BAPA,EQUITY,661784520,50,0,512725600,0,0,52419103,41855100,47492017,0,0,654491820,0,1032500,2414500,575000,1541700,0,1724000,0,0,7287700
30-Jul-2020,BAPI,EQUITY,5591740005,50,0,24800500,0,0,1357759505,261890500,0,22100,2102500,1646575105,0,6939300,0,0,24007600,0,0,0,0,30946900
30-Jul-2020,BATA,EQUITY,1300000000,600,0,0,0,50000,36536900,0,0,5800,0,36592700,0,10000,0,72571600,3326500,38109800,3161100,0,65646200,182825200
30-Jul-2020,BAYU,EQUITY,353220780,1035,41503483,113990068,0,27384,38509360,18980300,10912,0,0,213021507,0,0,0,132338363,844,0,9000,0,430,132348637
30-Jul-2020,BBCA,EQUITY,24655010000,31200,674004450,99237046,86684350,4000,855274332,362773792,4940834,13421400,312123,2096652327,103795143,454255505,1230537945,748534685,12036878,3570570948,317504175,135083130,1911768488,8484086897
30-Jul-2020,BBHI,EQUITY,4184431795,130,40000000,3044756782,0,0,1049481695,8330800,0,0,0,4142569277,0,0,0,0,18200,0,0,0,0,18200
30-Jul-2020,BBKP,EQUITY,16312672247,178,8197399,2823844089,21252216,39345431,3348062407,24403507,341555362,32121900,638039504,7276821815,0,372800,58560300,97555797,12946200,104094229,110035886,0,947100106,1330665318
30-Jul-2020,BBLD,EQUITY,1645796054,382,63281585,1183767165,0,1283,100787608,1125596,33457,0,0,1348996694,0,4996895,0,288889173,1583214,0,3744,0,0,295473026
30-Jul-2020,BBMD,EQUITY,4090090000,1455,0,63378600,0,0,191944400,0,0,0,0,255323000,0,0,0,2800,174597600,0,76600,0,0,174677000
30-Jul-2020,BBNI,EQUITY,18648656458,4600,1258933633,69913991,121848701,23410809,1006117703,723122305,22523324,78312223,1455165,3305637854,135443970,159265449,684326991,685765086,5190312,1095674271,167881353,28510140,1191767157,4153824729
30-Jul-2020,BBRI,EQUITY,123345810000,3160,4498113100,176048254,564624800,901223200,2545149019,3037601232,49161236,187108300,2333752,11961362893,881069486,2288275065,5221838367,4222076707,48296166,16887067399,1206260761,215305260,10166301696,41136490907
30-Jul-2020,BBRM,EQUITY,5367076248,50,0,2853148939,0,0,362881970,0,395600,0,1900,3216428409,0,1671252452,0,245523930,30177100,0,133774357,0,69920000,2150647839
30-Jul-2020,BBSS,EQUITY,4800000000,128,0,0,0,0,1300000000,0,0,0,0,1300000000,0,0,0,0,0,0,0,0,0,0
30-Jul-2020,BBTN,EQUITY,10590000000,1265,1183695422,47259184,107627157,10638400,1018020019,618071879,15376469,36515847,1530800,3038735177,4931730,39601928,106452627,98240069,4315840,409477231,101229074,9684800,423232024,1197165323
30-Jul-2020,BBYB,EQUITY,6661795239,300,1240509990,2964640429,0,0,15873470,533655440,30,0,302709619,5057388978,0,1000555774,0,9749644,374569484,0,65000,0,0,1384939902
30-Jul-2020,BCAP,EQUITY,39760851927,148,20852200,21692750060,194045226,0,1822742576,435646300,312314000,0,19607900,24497958262,0,6849450945,0,0,1000,108918164,3571386663,0,4733136893,15262893665
30-Jul-2020,BCIC,EQUITY,10012124501,700,606,54336,2,7192,41036,205,24979,0,0,128356,0,951153051,0,122981,1990,1893,3645,0,20805,951304365
30-Jul-2020,BCIP,EQUITY,1429915525,50,73305000,350488824,44057000,70000,534942691,397652910,1000,200000,0,1400717425,0,7900000,0,4000,5200500,0,10000000,0,6093600,29198100
30-Jul-2020,BDMN,EQUITY,9773552870,2740,54541541,110572998,15841910,717,173019709,56075097,1737721,1943950,100000,413833643,6466228,12465278,19244791,9198274577,1996268,46457595,28722991,273500,42370789,9356272017
30-Jul-2020,BEEF,EQUITY,1884312565,200,0,529026171,8500000,0,320105194,198444300,0,3150000,12500000,1071725665,0,0,0,0,628000,2533900,700000,0,55000000,58861900
30-Jul-2020,BEKS,EQUITY,64109430357,50,8961079431,32371727484,84049900,0,16971618400,4545402660,99120666,99400,23676247,63056774188,0,1095,0,51803589,22439527,0,336767597,0,550057,411561865
30-Jul-2020,BELL,EQUITY,1450000000,750,0,1166418000,0,0,89841200,182221600,0,0,0,1438480800,0,0,0,0,19200,0,0,0,0,19200
30-Jul-2020,BESS,EQUITY,3400000000,252,0,0,0,0,700000000,0,0,0,0,700000000,0,0,0,0,0,0,0,0,0,0
30-Jul-2020,BEST,EQUITY,9647311150,123,308285900,3754799700,22445300,0,1424929761,166929500,1126759033,487600,2559800,6807196594,0,1006997969,25434248,327925892,27492800,480881424,157106630,6015258,801260335,2833114556
30-Jul-2020,BFIN,EQUITY,15967115620,290,0,1020085080,0,176360,2029922680,2500000,12862940,86840,70830040,3136463940,0,1119358910,5237800,1668983320,21979160,2706595840,99504692,0,7191882038,12813541760
30-Jul-2020,BGTG,EQUITY,11175060000,50,485436000,973689706,3930000,0,1593568294,0,7366600,0,350000,3064340600,0,54500,0,731084300,2735300,0,1818305300,0,370800000,2922979400
30-Jul-2020,BHAT,EQUITY,5000000000,450,393100000,3510243300,0,0,572098900,466900000,57624000,0,0,4999966200,0,0,0,0,33800,0,0,0,0,33800
30-Jul-2020,BHIT,EQUITY,67767400934,50,35939600,6166804084,453625450,1000,7866342023,400667460,1024207215,53000,600,15947640432,0,26545816152,121952000,2033599176,13116668,789877166,3102898570,143621620,19068869150,51819750502
30-Jul-2020,BIKA,EQUITY,592280000,190,0,301900,0,0,580985800,0,0,0,0,581287700,0,700,0,0,11600,0,0,0,0,12300
30-Jul-2020,BIMA,EQUITY,608175716,50,570000,14300000,41000,0,24791280,0,46757700,0,0,86459980,0,0,0,0,12100,0,0,0,0,12100
30-Jul-2020,BINA,EQUITY,5654375000,880,1636289329,2007539952,37375900,0,111465665,80322200,29881412,0,0,3902874458,0,0,0,7594742,20100,1034685250,2334500,0,593778450,1638413042
30-Jul-2020,BIPI,EQUITY,44693066193,50,630732482,28383806480,92281900,0,6124254466,2428983000,342586563,0,43500,38002688391,0,1167356174,0,996614714,107632500,123160900,225288001,0,4070325513,6690377802
30-Jul-2020,BIPP,EQUITY,5028669376,71,27775000,366940500,21000300,1604280,832875956,18617000,10601420,0,1500000,1280914456,0,3595072395,0,558200,128576400,0,526500,0,0,3724733495
30-Jul-2020,BIRD,EQUITY,2502100000,1115,115561200,147217695,20627100,0,562001582,90439500,52975301,801500,7656818,997280696,5594700,59267505,4199831,11077727,397500,23003019,3499541,0,107759481,214799304
30-Jul-2020,BISI,EQUITY,3000000000,840,135783400,13531719,2114500,0,87765019,43847400,700334,0,0,283742372,0,2286600,0,836557709,20129641,17914600,710948932,0,198420146,1786257628
