Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
31-Jan-2020,ANDI,EQUITY,9350000000,50,0,725908500,0,0,1761429600,1857249500,310294500,100000,0,4654982100,0,9900,0,42659500,318500,0,2000000,0,0,44987900
31-Jan-2020,ANJT,EQUITY,3354175000,865,161038300,95760079,0,0,79767884,100,0,0,0,336566363,0,5065000,2000,260400,8599937,0,1544300,0,2137000,17608637
31-Jan-2020,ANTM,EQUITY,24030764725,720,1838489338,86547415,685785936,0,2936969065,1077581839,75973806,11687175,8945800,6721980374,20944504,88739715,75386415,303648066,13895741,619893639,263714992,490500,256624584,1643338156
31-Jan-2020,APEX,EQUITY,2659850000,250,0,1782406751,0,0,55334120,0,185784193,0,0,2023525064,0,432765527,0,124510550,1154500,0,89187,0,91500,558611264
31-Jan-2020,APIC,EQUITY,11766313488,700,878722900,8670742162,0,0,74944209,1178311575,59001591,24100000,0,10885822437,0,181500001,0,497226500,250,4178700,284700,0,197300900,880491051
31-Jan-2020,APII,EQUITY,1075760000,218,0,0,0,0,39193900,0,0,0,0,39193900,0,0,0,798600,53558100,0,37927400,0,143096000,235380100
31-Jan-2020,APLI,EQUITY,1362671400,169,0,202444300,0,0,558450900,0,165000,0,0,761060200,0,0,0,0,204900,0,1305300,0,0,1510200
31-Jan-2020,APLN,EQUITY,19364561700,144,62020600,6117961500,10347400,0,2115134567,147749100,252312202,39103200,390000,8745018569,0,42688960,21235269,378359790,17320700,225217522,160518516,0,80422374,925763131
31-Jan-2020,APOL,EQUITY,16452282461,50,0,727162400,1400000,0,780010359,27148470,1195300,14086735,0,1551003264,0,2626635716,0,1180647657,16069992,0,1410334020,0,85088011,5318775396
31-Jan-2020,ARGO,EQUITY,335557450,825,45000,34150914,0,0,438150,0,83500,0,0,34717564,0,280,0,112500,11250,0,91500,0,5720,221250
31-Jan-2020,ARII,EQUITY,3000000000,735,168777700,1103190200,150000,0,492734000,136886300,0,0,0,1901738200,0,312864100,0,274785400,12094800,0,1511000,0,9645500,610900800
31-Jan-2020,ARKA,EQUITY,2000000000,2000,0,0,0,0,498625000,0,0,0,0,498625000,0,0,0,0,0,0,0,0,1375000,1375000
31-Jan-2020,ARMY,EQUITY,9006250000,50,631385100,2763799700,0,0,1572082700,3255780600,259014500,200000,0,8482262600,0,488927400,0,32396000,972000,1687200,4800,0,0,523987400
31-Jan-2020,ARNA,EQUITY,7341430976,430,39528597,1045592448,16876323,0,3266081661,189005500,37213,0,0,4557121742,0,428355100,141735300,275588141,58137328,1303684982,27905582,73500000,475402801,2784309234
31-Jan-2020,ARTA,EQUITY,446674175,300,0,39777500,0,0,399600425,0,0,0,0,439377925,0,0,0,250,499600,0,6796400,0,0,7296250
